time,id,confidence interval
2022-04-18 22:39:11.300865,1,92
2022-04-18 22:42:26.015420,1,52
2022-04-18 22:42:29.249098,2,80
2022-04-18 22:42:37.584544,2,65
2022-04-18 22:42:54.082936,1,52
2022-04-18 22:43:11.362002,3,51
2022-04-18 22:45:37.444005,1,60
2022-04-18 22:45:48.469870,2,51
2022-04-18 22:46:05.332661,4,63
